cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Epithelial_cells	7	IRF6	0.0175	0.0570	0.0395	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	8	KLF5	0.0171	0.0544	0.0373	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	9	FOXR1	0.0164	0.0519	0.0355	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	10	DLX5	0.0161	0.0565	0.0404	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Erythroid_cells	1	NFE2	0.0893	0.1178	0.0285	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	2	GATA1	0.0717	0.1014	0.0297	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	3	KLF1	0.0345	0.0627	0.0282	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	4	ZFPM1	0.0322	0.0586	0.0263	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	5	LYL1	0.0290	0.0562	0.0272	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	6	E2F4	0.0236	0.0526	0.0289	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	7	CEBPE	0.0226	0.0522	0.0296	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	8	PBX2	0.0222	0.0549	0.0327	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	9	TAL1	0.0222	0.0504	0.0282	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Erythroid_cells	10	ZNF433	0.0219	0.0464	0.0245	White_blood_cells,Gut_epithelial_cells,T_cells,B_cells,Lymphatic_vessel_endothelial_cells
Eye	1	SIX6	0.0036	0.0490	0.0454	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	2	FOXN4	0.0008	0.0439	0.0431	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	3	SOX8	-0.0080	0.0344	0.0424	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	4	SCRT2	-0.0091	0.0342	0.0433	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	5	BHLHE22	-0.0091	0.0394	0.0485	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	6	BAZ2B	-0.0095	0.0398	0.0493	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	7	TBX2	-0.0104	0.0330	0.0434	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
Eye	8	VSX2	-0.0107	0.0335	0.0442	Neuroectoderm_and_glia,CNS_neurons,Neural_crest_PNS_neurons,Intermediate_neuronal_progenitors,Glia
